item,sample,metadata_extract,linecut_qr
C67_GD2-69-6_th0.110_3392.3s_T200.005C_5.00s_61403_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3392.3,""theta"":0.11,""sequence_ID"":61403.0,""annealing_temperature"":200.005},""time"":1.5084270522073271e+09}",
C67_GD2-69-6_th0.110_3459.2s_T200.004C_5.00s_61408_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3459.2,""theta"":0.11,""sequence_ID"":61408.0,""annealing_temperature"":200.004},""time"":1.5084270522118535e+09}",
C67_GD2-69-6_th0.110_3519.3s_T200.005C_5.00s_61413_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3519.3,""theta"":0.11,""sequence_ID"":61413.0,""annealing_temperature"":200.005},""time"":1.5084270522167134e+09}",
C67_GD2-69-6_th0.110_3581.3s_T200.006C_5.00s_61418_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3581.3,""theta"":0.11,""sequence_ID"":61418.0,""annealing_temperature"":200.006},""time"":1.5084270522213264e+09}",
C67_GD2-69-6_th0.110_3644.3s_T200.005C_5.00s_61423_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3644.3,""theta"":0.11,""sequence_ID"":61423.0,""annealing_temperature"":200.005},""time"":1.5084270522262115e+09}",
C67_GD2-69-6_th0.110_3709.2s_T200.005C_5.00s_61428_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3709.2,""theta"":0.11,""sequence_ID"":61428.0,""annealing_temperature"":200.005},""time"":1.5084270522315545e+09}",
C67_GD2-69-6_th0.110_3775.3s_T200.006C_5.00s_61433_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3775.3,""theta"":0.11,""sequence_ID"":61433.0,""annealing_temperature"":200.006},""time"":1.5084270522362125e+09}",
C67_GD2-69-6_th0.110_3842.3s_T200.006C_5.00s_61438_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3842.3,""theta"":0.11,""sequence_ID"":61438.0,""annealing_temperature"":200.006},""time"":1.5084270522411263e+09}",
C67_GD2-69-6_th0.110_3896.3s_T200.005C_5.00s_61443_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3896.3,""theta"":0.11,""sequence_ID"":61443.0,""annealing_temperature"":200.005},""time"":1.5084270522458017e+09}",
C67_GD2-69-6_th0.110_3956.3s_T200.006C_5.00s_61448_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":3956.3,""theta"":0.11,""sequence_ID"":61448.0,""annealing_temperature"":200.006},""time"":1.5084270522503598e+09}",
C67_GD2-69-6_th0.110_4009.3s_T200.006C_5.00s_61453_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4009.3,""theta"":0.11,""sequence_ID"":61453.0,""annealing_temperature"":200.006},""time"":1.5084270522552216e+09}",
C67_GD2-69-6_th0.110_4071.3s_T200.004C_5.00s_61458_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4071.3,""theta"":0.11,""sequence_ID"":61458.0,""annealing_temperature"":200.004},""time"":1.508427052259728e+09}",
C67_GD2-69-6_th0.110_4136.3s_T200.006C_5.00s_61463_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4136.3,""theta"":0.11,""sequence_ID"":61463.0,""annealing_temperature"":200.006},""time"":1.508427052264342e+09}",
C67_GD2-69-6_th0.110_4196.3s_T200.005C_5.00s_61468_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4196.3,""theta"":0.11,""sequence_ID"":61468.0,""annealing_temperature"":200.005},""time"":1.508427052269023e+09}",
C67_GD2-69-6_th0.110_4251.3s_T200.005C_5.00s_61473_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4251.3,""theta"":0.11,""sequence_ID"":61473.0,""annealing_temperature"":200.005},""time"":1.5084270522736568e+09}",
C67_GD2-69-6_th0.110_4305.3s_T200.005C_5.00s_61478_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4305.3,""theta"":0.11,""sequence_ID"":61478.0,""annealing_temperature"":200.005},""time"":1.5084270522782366e+09}",
C67_GD2-69-6_th0.110_4364.4s_T200.006C_5.00s_61483_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4364.4,""theta"":0.11,""sequence_ID"":61483.0,""annealing_temperature"":200.006},""time"":1.508427052282794e+09}",
C67_GD2-69-6_th0.110_4424.4s_T200.005C_5.00s_61488_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4424.4,""theta"":0.11,""sequence_ID"":61488.0,""annealing_temperature"":200.005},""time"":1.50842705228766e+09}",
C67_GD2-69-6_th0.110_4481.4s_T200.006C_5.00s_61493_saxs,C67_GD2-69-6,"{""data"":{""annealing_time"":4481.4,""theta"":0.11,""sequence_ID"":61493.0,""annealing_temperature"":200.006},""time"":1.508427052292399e+09}",
